is_hr,city,scale,is_view,name,url,industry,deliver,ad_type,refresh,month_num,cname,ftype,invite,maxsal,job_label,type,day,minsal,uuid
False,广州,50-150人,False,数据分析（BI方向）,https://sxsimg.xiaoyuanzhao.com/0C/E9/0C8A0B8642B4DB43298927B8C11F16E9.jpg,计算机/互联网,False,f,12-07,7,小黑屋科技,1,False,150,"{'is_ji': False, 'is_quick': False}",intern,5,100,inn_8x3tpe9iunmp
False,广州,2000人以上,False,集团总部-信息中心实习生（数据）,https://sxsimg.xiaoyuanzhao.com/BE/20/BE983C843C8662C555D1FDF02B422B20.jpg,,False,f,12-05,4,越秀集团,1,False,100,"{'is_ji': False, 'is_quick': False}",intern,4,99,inn_2sow3q4s2t1s
False,北京,15-50人,False,语音算法实习生,https://sxsimg.xiaoyuanzhao.com/81/72/81063A0D8707FAC61D4E02FB804D1072.png,IT服务/系统集成,False,f,12-02,12,rcrai,1,False,300,"{'is_ji': False, 'is_quick': False}",intern,3,200,inn_7f1hedid3pll
False,深圳,2000人以上,False,数据挖掘实习生,https://sxsimg.xiaoyuanzhao.com/69/8D/69D89E01806ACAEE6472C6D5D5C7CC8D.jpg,移动互联网,False,f,12-01,6,字节跳动,1,False,400,"{'is_ji': False, 'is_quick': False}",intern,3,400,inn_7h5ijlh9exhz
False,北京,15-50人,False,大数据挖掘方向实习生,https://sxsimg.xiaoyuanzhao.com/EF/E4/EFA00E87C2A5E15DA0EE8ABD51B171E4.png,IT服务/系统集成,False,f,11-27,5,城垣数字科技,1,False,180,"{'is_ji': False, 'is_quick': False}",intern,3,150,inn_1ssv6zfxrzfa
False,北京,150-500人,False,数据挖掘实习生,https://sxsimg.xiaoyuanzhao.com/3D/27/3D6C1076C359765110E91D16F6709327.png,计算机/互联网,False,f,11-26,11,中交车联网,1,False,300,"{'is_ji': False, 'is_quick': False}",intern,5,150,inn_qigejecfpewb
False,上海,2000人以上,False,数据分析实习生,https://sxsimg.xiaoyuanzhao.com/D8/91/D8876F463BA1B532E2E794B7D07D9591.jpg,"生活服务,酒店",False,f,11-22,5,华住集团,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,4,120,inn_6sh5ncfeoxmd
False,北京,50-150人,False,数据分析实习生-北京,https://sxsimg.xiaoyuanzhao.com/A4/98/A49859FCF4F2C425F102144521911898.png,计算机/互联网,False,f,11-19,12,星联互动,1,False,150,"{'is_ji': False, 'is_quick': False}",intern,5,100,inn_q55czfkyxieb
False,广州,2000人以上,False,数据分析实习生 (MJ002406),https://sxsimg.xiaoyuanzhao.com/37/53/376BF1958759BCB092CA3CDA779ED153.png,计算机/互联网,False,f,11-18,3,欢聚时代,0,False,150,"{'is_ji': False, 'is_quick': False}",intern,5,80,inn_ywz5fr74jblf
False,深圳,2000人以上,False,软件工程师（数据挖掘方向）,https://sxsimg.xiaoyuanzhao.com/0C/6A/0CDD5200FECB4F957ED841CEC6BDFB6A.png,建筑房产,False,f,11-15,8,方大集团,1,False,1000,"{'is_ji': False, 'is_quick': False}",intern,5,500,inn_zhogtcdiv1il
